town,flat_type,floor_area_sqm,remaining_lease_months,resale_price,distanceWithMrt,distanceWithRaffles,distanceWithGdPri
BEDOK,5 ROOM,117,682,410000,719.8123978,10726.57852,301.4013655
BEDOK,5 ROOM,121,922,608000,830.7075837,10651.29956,420.929369
BEDOK,5 ROOM,105,1117,840000,458.5450733,9768.378025,1198.399072
BEDOK,5 ROOM,105,1115,815000,500.6653685,9809.051291,1163.913286
BEDOK,5 ROOM,105,1116,803000,458.5450733,9768.378025,1198.399072
BEDOK,5 ROOM,122,784,480000,368.2985333,8641.077458,1242.713976
BEDOK,5 ROOM,121,767,455000,744.0180617,8179.628101,961.4002522
BEDOK,5 ROOM,122,785,460000,416.1364474,8656.827972,1269.214261
BEDOK,5 ROOM,115,952,560000,630.2045558,11257.03661,512.5691672
BEDOK,5 ROOM,115,952,650000,236.8978049,10905.24483,303.5092631
BEDOK,5 ROOM,133,892,725000,749.1452004,10308.34416,1133.453936
BEDOK,5 ROOM,123,685,460000,815.7846835,11033.96882,371.4026523
BEDOK,5 ROOM,122,771,580000,748.7180856,11152.08949,347.234954
BEDOK,5 ROOM,114,641,595000,398.9005957,9467.012226,1251.614752
BEDOK,5 ROOM,120,954,625000,654.7568055,9468.669071,1113.150006
BEDOK,5 ROOM,128,902,540000,273.2844042,8321.018351,898.4761619
BEDOK,5 ROOM,129,815,7.00E+05,566.1489387,8055.536299,1090.142827
BEDOK,5 ROOM,118,671,456000,495.3839363,11114.31316,868.7601151
BEDOK,5 ROOM,118,672,466000,495.3839363,11114.31316,868.7601151
BEDOK,EXECUTIVE,141,862,766000,826.614228,11555.25311,918.6133279
BEDOK,EXECUTIVE,150,770,640000,478.9491255,8228.201142,863.5184933
BEDOK,EXECUTIVE,145,861,730000,626.1055961,7860.614059,437.9570581
BEDOK,EXECUTIVE,145,903,703000,659.0806128,9283.814894,1334.548767
BISHAN,3 ROOM,64,777,365000,500.0727569,7048.872402,497.2257416
BISHAN,3 ROOM,68,626,260000,954.8116076,8275.100181,675.9711997
BISHAN,4 ROOM,84,773,470000,408.3076497,7052.554397,697.070749
BISHAN,4 ROOM,89,771,530000,362.5005865,7113.706498,620.7105467
BISHAN,4 ROOM,83,797,520000,397.4275474,7206.178728,414.4069941
BISHAN,4 ROOM,90,798,575300,496.164686,7362.954335,224.1729763
BISHAN,4 ROOM,84,796,418000,898.8098996,6990.122173,355.9932755
BISHAN,4 ROOM,88,796,430000,818.2308678,7240.11616,128.413146
BISHAN,4 ROOM,108,852,5.00E+05,1117.457506,8687.937905,767.9186252
BISHAN,4 ROOM,105,852,520000,1117.457506,8687.937905,767.9186252
BISHAN,4 ROOM,103,852,565000,1117.457506,8687.937905,767.9186252
BISHAN,4 ROOM,105,849,480000,705.6809004,8161.908549,446.1742919
BISHAN,4 ROOM,103,852,570000,816.4874432,8199.944304,279.0589307
BISHAN,4 ROOM,112,852,610000,1070.658615,8345.319635,504.1394268
BISHAN,4 ROOM,100,758,558000,81.24502636,7412.256064,886.9560013
BISHAN,4 ROOM,105,822,506000,1482.992674,8642.556441,351.097659
BISHAN,5 ROOM,121,790,773000,461.3143139,7165.176514,383.488881
BISHAN,5 ROOM,121,792,836800,480.7809175,7199.718034,326.2653512
BISHAN,5 ROOM,121,797,760000,1036.241111,6939.973837,478.8405034
BISHAN,5 ROOM,121,805,635888,914.3461793,7284.319337,196.4212383
BISHAN,5 ROOM,123,923,752000,655.4146436,8077.42442,197.4100234
BISHAN,5 ROOM,132,852,750000,1089.164012,8648.208649,729.4901002
BISHAN,5 ROOM,121,922,780000,638.9219901,8050.239631,159.2933808
BISHAN,5 ROOM,120,1081,840000,834.0708694,8152.365511,267.8162241
BISHAN,5 ROOM,120,1079,830000,781.039535,8079.672422,216.7375913
BISHAN,5 ROOM,120,1080,1080000,834.0708694,8152.365511,267.8162241
BISHAN,5 ROOM,125,823,735000,1410.662399,8647.783716,184.6444583
BISHAN,EXECUTIVE,144,802,810000,960.3419503,7016.292351,358.482462
BISHAN,EXECUTIVE,143,852,922500,1066.878278,8475.141901,554.4221696
BISHAN,EXECUTIVE,149,852,760000,1053.742989,8403.883643,500.4800936
BISHAN,EXECUTIVE,146,852,888000,801.1163804,8256.943241,513.2133395
BISHAN,EXECUTIVE,146,849,828000,648.1238559,8100.305116,457.2934235
BISHAN,EXECUTIVE,186,823,958000,1418.380738,8568.721417,389.9261621
BISHAN,EXECUTIVE,155,771,845000,1685.597676,8980.035115,197.3161093
BUKIT BATOK,3 ROOM,75,768,275000,1001.307635,12759.59442,1837.983923
BUKIT BATOK,3 ROOM,73,767,280000,1069.116236,12658.94427,1933.786092
BUKIT BATOK,3 ROOM,67,770,247000,1150.990736,12570.76925,2008.985024
BUKIT BATOK,3 ROOM,67,765,275000,619.3204441,12927.72683,1572.823089
BUKIT BATOK,3 ROOM,73,754,268000,838.244174,14162.84362,120.3577428
BUKIT BATOK,3 ROOM,73,753,280000,838.244174,14162.84362,120.3577428
BUKIT BATOK,3 ROOM,73,763,240000,219.6946171,13298.1265,1034.091379
BUKIT BATOK,3 ROOM,68,795,262000,373.5937566,14231.12766,403.8581521
BUKIT BATOK,3 ROOM,68,793,288000,302.5534808,14130.30901,424.3500933
BUKIT BATOK,3 ROOM,64,797,260000,762.9237149,14591.22387,174.1626387
BUKIT BATOK,3 ROOM,60,798,258000,376.3787475,13861.96542,976.7817383
BUKIT BATOK,3 ROOM,64,791,270000,532.1073508,13223.40378,1435.010215
BUKIT BATOK,3 ROOM,64,791,245000,532.1073508,13223.40378,1435.010215
BUKIT BATOK,3 ROOM,60,789,225000,605.939167,13247.08789,1477.466229
BUKIT BATOK,3 ROOM,68,757,267000,614.2839235,14012.75045,347.2420833
BUKIT BATOK,3 ROOM,68,753,258000,603.6330126,14019.98306,372.5148673
BUKIT BATOK,3 ROOM,67,756,255000,1006.53185,14124.65483,344.4696838
BUKIT BATOK,4 ROOM,99,769,380000,343.6942489,13141.15622,1294.187313
BUKIT BATOK,4 ROOM,83,799,350000,917.2794235,12588.11446,1857.668307
BUKIT BATOK,4 ROOM,104,768,325000,1071.301745,12583.40319,2024.410018
BUKIT BATOK,4 ROOM,84,768,345000,1071.301745,12583.40319,2024.410018
BUKIT BATOK,4 ROOM,103,765,363000,865.9702468,12890.38251,1742.807801
BUKIT BATOK,4 ROOM,104,762,384000,775.0961641,14061.54434,218.1739753
BUKIT BATOK,4 ROOM,107,765,415000,167.9929464,13339.95519,1005.713163
BUKIT BATOK,4 ROOM,104,763,390000,405.2430254,13328.57798,954.9163114
BUKIT BATOK,4 ROOM,107,765,377000,397.913037,13212.00417,1079.119316
BUKIT BATOK,4 ROOM,100,918,398000,1055.117485,12405.63735,1913.024392
BUKIT BATOK,4 ROOM,103,918,4.00E+05,958.5523902,12516.4605,1785.384024
BUKIT BATOK,4 ROOM,84,782,318000,605.0400957,14428.39328,590.1154801
BUKIT BATOK,4 ROOM,84,781,317000,655.7246627,14499.99924,524.8504506
BUKIT BATOK,4 ROOM,84,783,325000,604.3637393,14403.20941,129.1777685
BUKIT BATOK,4 ROOM,104,787,368000,459.3223139,14292.31148,284.902213
BUKIT BATOK,4 ROOM,103,793,380888,522.2208162,14260.02348,232.3753009
BUKIT BATOK,4 ROOM,83,784,340000,349.7810318,13894.11139,934.4567533
BUKIT BATOK,4 ROOM,103,793,355000,471.2992582,13630.37442,1160.978614
BUKIT BATOK,4 ROOM,86,997,455000,812.9177704,14279.41167,405.429278
BUKIT BATOK,4 ROOM,92,997,405000,812.9177704,14279.41167,405.429278
BUKIT BATOK,4 ROOM,92,998,408000,889.6296867,14292.21858,472.4370727
BUKIT BATOK,4 ROOM,120,767,390000,392.1715554,13571.75651,714.7972586
BUKIT BATOK,4 ROOM,104,767,460000,311.6937893,13567.40956,735.8936956
BUKIT BATOK,4 ROOM,93,756,318000,614.2839235,14012.75045,347.2420833
BUKIT BATOK,4 ROOM,103,810,368000,618.3943215,13781.5536,500.9095449
BUKIT BATOK,4 ROOM,91,757,310000,751.7676231,13890.04832,414.7142774
BUKIT BATOK,5 ROOM,113,987,710000,149.5237923,13607.26834,825.8965395
BUKIT BATOK,5 ROOM,134,763,545000,630.3731921,13018.77361,1573.616545
BUKIT BATOK,5 ROOM,149,768,6.00E+05,298.3049174,13420.01001,877.9189113
BUKIT BATOK,5 ROOM,149,766,548888,199.8851863,13411.37539,913.1206373
BUKIT BATOK,5 ROOM,121,916,525000,1069.969127,12387.9325,1948.936056
BUKIT BATOK,5 ROOM,121,916,543000,1303.170937,12160.13622,1910.611225
BUKIT BATOK,5 ROOM,121,916,510000,1240.839506,12218.08979,1983.241473
BUKIT BATOK,5 ROOM,122,783,425000,658.3065003,14517.21456,307.7539951
BUKIT BATOK,5 ROOM,122,783,430000,722.9689085,14565.86533,216.1987366
BUKIT BATOK,5 ROOM,122,783,462000,469.7189781,13517.88203,1190.130143
BUKIT BATOK,5 ROOM,118,1001,568000,599.1722426,14159.19,371.2834021
BUKIT BATOK,5 ROOM,150,767,495000,392.1715554,13571.75651,714.7972586
BUKIT BATOK,5 ROOM,115,907,520000,508.7413425,13575.48808,704.5469784
BUKIT BATOK,5 ROOM,132,761,588000,289.0780869,13741.24686,688.9577658
BUKIT BATOK,5 ROOM,132,762,560000,451.0776905,13727.02464,564.5900882
BUKIT BATOK,5 ROOM,139,765,515000,951.858189,14134.49823,396.6869008
BUKIT BATOK,EXECUTIVE,150,761,568000,724.3544227,14140.40638,282.6617675
BUKIT BATOK,EXECUTIVE,144,916,708000,1319.476489,12160.79832,1885.217767
BUKIT BATOK,EXECUTIVE,144,776,565000,374.7033788,14234.93899,477.6661056
BUKIT BATOK,EXECUTIVE,143,782,535000,650.0565446,14480.81447,167.3090304
BUKIT BATOK,EXECUTIVE,147,789,510000,527.0712588,13469.28734,1248.22671
BUKIT BATOK,EXECUTIVE,152,785,6.00E+05,526.979064,13614.50087,1210.566378
BUKIT BATOK,EXECUTIVE,146,785,550000,433.8687792,13749.07915,1083.28669
BUKIT BATOK,EXECUTIVE,146,788,522000,527.0712588,13469.28734,1248.22671
BUKIT BATOK,EXECUTIVE,146,784,6.00E+05,526.979064,13614.50087,1210.566378
